Variable name;Variable definition
Date;Date (DD/MM/YYYY) 
Time;Time (HH.MM.SS) 
CO(GT);True hourly averaged concentration CO in mg/m^3 (reference analyzer) 
PT08S1(CO);PT08.S1 (tin oxide) hourly averaged sensor response (nominally CO targeted)
NMHC(GT);True hourly averaged overall Non Metanic HydroCarbons concentration in microg/m^3 (reference analyzer) 
C6H6(GT);True hourly averaged Benzene concentration in microg/m^3 (reference analyzer) 
PT08S2(NMHC);PT08.S2 (titania) hourly averaged sensor response (nominally NMHC targeted)
NOx(GT);True hourly averaged NOx concentration in ppb (reference analyzer) 
PT08S3(NOx);PT08.S3 (tungsten oxide) hourly averaged sensor response (nominally NOx targeted) 
NO2(GT);True hourly averaged NO2 concentration in microg/m^3 (reference analyzer)
PT08S4(NO2);PT08.S4 (tungsten oxide) hourly averaged sensor response (nominally NO2 targeted)
PT08S5(O3);PT08.S5 (indium oxide) hourly averaged sensor response (nominally O3 targeted) 
T;Temperature in °C
RH;Relative Humidity (%) 
AH;AH Absolute Humidity 
